# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8946.5060       0.75392951       0.75392951       0.75301269        2.2836045      -0.20003406E-03  -0.21125287E-04    303585.00        0.0000000
  8946.9790       0.75376027       0.75376027       0.75283213        2.2831291      -0.40355879E-04   0.80319398E-04    303438.00        0.0000000
  8947.4530       0.75389130       0.75389130       0.75265118        2.2826527      -0.12397159E-03  -0.14771397E-03    303380.00        0.0000000
  8947.9700       0.75363741       0.75363741       0.75245381        2.2821333      -0.18674042E-03   0.25365777E-03    303201.00        0.0000000
  8948.4440       0.75370624       0.75370624       0.75227286        2.2816572       0.12740326E-03   0.29197603E-03    303122.00        0.0000000
  8948.9180       0.75375819       0.75375819       0.75209191        2.2811812       0.90052853E-04  -0.26666831E-03    303040.00        0.0000000
  8949.3920       0.75379161       0.75379161       0.75191096        2.2807053      -0.12539829E-03  -0.51068339E-03    302963.00        0.0000000
  8949.8660       0.75363931       0.75363931       0.75173002        2.2802295      -0.39407500E-03  -0.20029150E-03    302834.00        0.0000000
  8950.3830       0.75340108       0.75340108       0.75153265        2.2797107      -0.32388717E-03   0.36408136E-03    302730.00        0.0000000
  8950.8570       0.75331834       0.75331834       0.75135170        2.2792352      -0.33270373E-04   0.22980809E-03    302603.00        0.0000000
  8951.3320       0.75336951       0.75336951       0.75117037        2.2787588      -0.10579929E-03  -0.23413530E-03    302576.00        0.0000000
  8951.8060       0.75321794       0.75321794       0.75098942        2.2782835      -0.25546478E-03   0.38770891E-03    302562.00        0.0000000
  8952.2800       0.75312732       0.75312732       0.75080847        2.2778083       0.26174876E-03   0.33190682E-03    302473.00        0.0000000
  8952.7980       0.75347759       0.75347759       0.75061073        2.2772892       0.73786789E-04  -0.29393344E-03    302460.00        0.0000000
  8953.2720       0.75320052       0.75320052       0.75042978        2.2768143      -0.29833218E-04   0.12635828E-04    302304.00        0.0000000
  8953.7470       0.75344928       0.75344928       0.75024845        2.2763384       0.85778190E-04  -0.22322418E-03    302256.00        0.0000000
  8954.2220       0.75328201       0.75328201       0.75006712        2.2758627      -0.24189619E-03  -0.14163496E-03    302095.00        0.0000000
  8954.7380       0.75320956       0.75320956       0.74987013        2.2753461      -0.54582058E-04   0.38965183E-03    302054.00        0.0000000
  8955.2130       0.75322792       0.75322792       0.74968880        2.2748706       0.14424877E-03   0.42054059E-03    301913.00        0.0000000
  8955.6880       0.75334660       0.75334660       0.74950747        2.2743953       0.34493150E-03  -0.85494393E-04    301849.00        0.0000000
  8956.1630       0.75355560       0.75355560       0.74932614        2.2739201       0.63029100E-04  -0.25635599E-03    301774.00        0.0000000
  8956.6380       0.75340648       0.75340648       0.74914481        2.2734449       0.10139331E-03  -0.25367535E-04    301729.00        0.0000000
  8957.1550       0.75365619       0.75365619       0.74894744        2.2729279       0.37864505E-04  -0.89415533E-04    301628.00        0.0000000
